, open , high , low , close , volume , range , 목표가  ,매수여부, 수익률 ,
2020-11-24 9:00," 20,100,000 "," 21,390,000 "," 19,937,000 "," 20,957,000 "," 15,374 "," 1,453,000 "," 20,413,500 ",1,1.026624538,
2020-11-25 9:00," 20,957,000 "," 21,459,000 "," 20,600,000 "," 20,840,000 "," 8,277 "," 859,000 "," 21,683,500 ",0,1,
2020-11-26 9:00," 20,840,000 "," 20,989,000 "," 18,569,000 "," 19,225,000 "," 13,803 "," 2,420,000 "," 21,269,500 ",0,1,
2020-11-27 9:00," 19,226,000 "," 19,654,000 "," 18,500,000 "," 19,129,000 "," 7,569 "," 1,154,000 "," 20,436,000 ",0,1,
2020-11-28 9:00," 19,129,000 "," 19,556,000 "," 18,858,000 "," 19,484,000 "," 5,060 "," 698,000 "," 19,706,000 ",0,1,
2020-11-29 9:00," 19,486,000 "," 20,110,000 "," 19,196,000 "," 19,991,000 "," 4,169 "," 914,000 "," 19,835,000 ",1,1.007864885,
2020-11-30 9:00," 19,990,000 "," 21,368,000 "," 19,971,000 "," 21,315,000 "," 9,686 "," 1,397,000 "," 20,447,000 ",1,1.042451215,
2020-12-01 9:00," 21,313,000 "," 21,651,000 "," 20,202,000 "," 20,867,000 "," 9,672 "," 1,449,000 "," 22,011,500 ",0,1,1.36542658
2020-12-02 9:00," 20,867,000 "," 21,315,000 "," 20,346,000 "," 21,097,000 "," 6,265 "," 969,000 "," 21,591,500 ",0,1,
2020-12-03 9:00," 21,091,000 "," 21,310,000 "," 20,797,000 "," 21,179,000 "," 4,414 "," 513,000 "," 21,575,500 ",0,1,
2020-12-04 9:00," 21,183,000 "," 21,266,000 "," 20,428,000 "," 20,569,000 "," 4,244 "," 838,000 "," 21,439,500 ",0,1,
2020-12-05 9:00," 20,569,000 "," 20,956,000 "," 20,390,000 "," 20,781,000 "," 2,248 "," 566,000 "," 20,988,000 ",0,1,
2020-12-06 9:00," 20,778,000 "," 20,999,000 "," 20,574,000 "," 20,976,000 "," 2,248 "," 425,000 "," 21,061,000 ",0,1,
2020-12-07 9:00," 20,976,000 "," 21,053,000 "," 20,666,000 "," 20,834,000 "," 3,242 "," 387,000 "," 21,188,500 ",0,1,
2020-12-08 9:00," 20,834,000 "," 20,931,000 "," 19,942,000 "," 20,010,000 "," 4,533 "," 989,000 "," 21,027,500 ",0,1,
